YAMAHA amplituner NEC codes for chromecast 
ON/OFF
NEC frame start---
{0:8898},{1:4459}
{0:580},{1:554}
{0:550},{1:1710}
{0:585},{1:598}
{0:558},{1:1676}
{0:581},{1:1655}
{0:584},{1:1678}
{0:583},{1:1676}
{0:559},{1:598}
{0:559},{1:1676}
{0:584},{1:574}
{0:583},{1:1677}
{0:529},{1:605}
{0:582},{1:598}
{0:558},{1:599}
{0:558},{1:599}
{0:559},{1:1674}
{0:586},{1:573}
{0:583},{1:1653}
{0:583},{1:1677}
{0:584},{1:1676}
{0:530},{1:1707}
{0:557},{1:599}
{0:526},{1:554}
{0:575},{1:581}
{0:527},{1:1732}
{0:585},{1:599}
{0:557},{1:599}
{0:558},{1:600}
{0:557},{1:600}
{0:558},{1:1677}
{0:528},{1:1707}
{0:583},{1:1676}
{0:554},{1:0}
---NEC frame end: Address=857A, Command=E11E

INPUT
NEC frame start---
{0:8971},{1:4543}
{0:555},{1:627}
{0:530},{1:1731}
{0:557},{1:603}
{0:553},{1:1732}
{0:524},{1:1739}
{0:555},{1:1732}
{0:555},{1:1730}
{0:557},{1:627}
{0:528},{1:1732}
{0:503},{1:630}
{0:556},{1:1732}
{0:555},{1:625}
{0:532},{1:626}
{0:531},{1:626}
{0:530},{1:626}
{0:532},{1:1756}
{0:525},{1:1712}
{0:555},{1:627}
{0:530},{1:1756}
{0:531},{1:1732}
{0:556},{1:1754}
{0:478},{1:629}
{0:529},{1:630}
{0:554},{1:626}
{0:531},{1:626}
{0:531},{1:1732}
{0:556},{1:625}
{0:532},{1:625}
{0:532},{1:626}
{0:531},{1:1729}
{0:501},{1:1761}
{0:557},{1:1755}
{0:532},{1:0}
---NEC frame end: Address=857A, Command=E21D

Volume_up
NEC frame start---
{0:8919},{1:4489}
{0:553},{1:581}
{0:548},{1:1711}
{0:556},{1:602}
{0:554},{1:1705}
{0:502},{1:1706}
{0:577},{1:1685}
{0:553},{1:1682}
{0:556},{1:600}
{0:557},{1:1703}
{0:558},{1:601}
{0:555},{1:1705}
{0:531},{1:601}
{0:555},{1:602}
{0:556},{1:601}
{0:555},{1:627}
{0:531},{1:1702}
{0:556},{1:578}
{0:575},{1:1685}
{0:556},{1:603}
{0:554},{1:1704}
{0:556},{1:1682}
{0:554},{1:602}
{0:556},{1:625}
{0:531},{1:600}
{0:557},{1:1677}
{0:583},{1:578}
{0:576},{1:1683}
{0:556},{1:625}
{0:531},{1:601}
{0:556},{1:1704}
{0:500},{1:1710}
{0:557},{1:1703}
{0:555},{1:0}
---NEC frame end: Address=857A, Command=E51A

Volume_down

NEC frame start---
{0:8897},{1:4490}
{0:550},{1:583}
{0:548},{1:1711}
{0:556},{1:626}
{0:529},{1:1707}
{0:551},{1:1686}
{0:553},{1:1705}
{0:557},{1:1704}
{0:531},{1:626}
{0:530},{1:1706}
{0:555},{1:627}
{0:530},{1:1707}
{0:502},{1:602}
{0:528},{1:601}
{0:557},{1:626}
{0:530},{1:628}
{0:529},{1:1705}
{0:530},{1:1706}
{0:556},{1:1729}
{0:475},{1:633}
{0:524},{1:1735}
{0:556},{1:1730}
{0:526},{1:582}
{0:549},{1:607}
{0:524},{1:632}
{0:527},{1:655}
{0:500},{1:656}
{0:530},{1:1731}
{0:531},{1:627}
{0:530},{1:626}
{0:531},{1:1730}
{0:506},{1:1730}
{0:530},{1:1703}
{0:501},{1:0}
---NEC frame end: Address=857A, Command=E41B

Mute
NEC frame start---
{0:8897},{1:4488}
{0:551},{1:582}
{0:524},{1:1735}
{0:557},{1:601}
{0:556},{1:1704}
{0:552},{1:1686}
{0:554},{1:1704}
{0:557},{1:1704}
{0:531},{1:626}
{0:531},{1:1704}
{0:557},{1:627}
{0:530},{1:1704}
{0:530},{1:601}
{0:556},{1:627}
{0:530},{1:626}
{0:531},{1:605}
{0:552},{1:1705}
{0:553},{1:581}
{0:575},{1:581}
{0:549},{1:1711}
{0:555},{1:1705}
{0:554},{1:1706}
{0:530},{1:605}
{0:554},{1:625}
{0:531},{1:626}
{0:531},{1:1707}
{0:550},{1:1683}
{0:555},{1:627}
{0:530},{1:627}
{0:530},{1:626}
{0:531},{1:1730}
{0:526},{1:1686}
{0:554},{1:1731}
{0:529},{1:0}
---NEC frame end: Address=857A, Command=E31C

